date,time,wind,temp_air,temp_dewpoint,precip_1hr,precip_3hr,month,datetime
11-1-2023,08:53:00,W 14 G 23,39,13,NA,NA,11,2023-11-01T08:53:00Z
11-1-2023,07:53:00,NW 12 G 18,38,13,NA,NA,11,2023-11-01T07:53:00Z
11-1-2023,06:53:00,NW 8 G 21,39,18,NA,NA,11,2023-11-01T06:53:00Z
11-1-2023,05:53:00,NW 12 G 24,42,21,NA,NA,11,2023-11-01T05:53:00Z
11-1-2023,04:53:00,NW 8,43,29,NA,NA,11,2023-11-01T04:53:00Z
11-1-2023,03:53:00,W 3,41,35,NA,NA,11,2023-11-01T03:53:00Z
11-1-2023,02:53:00,W 5,40,35,NA,NA,11,2023-11-01T02:53:00Z
11-1-2023,01:53:00,Calm,39,34,NA,NA,11,2023-11-01T01:53:00Z
11-1-2023,00:53:00,Calm,43,35,NA,NA,11,2023-11-01T00:53:00Z
11-1-2023,10:53:00,N 16 G 26,43,16,NA,NA,11,2023-11-01T10:53:00Z
11-1-2023,09:53:00,NW 12 G 22,41,15,NA,NA,11,2023-11-01T09:53:00Z
10-31-2023,23:53:00,W 3,44,36,NA,NA,10,2023-10-31T23:53:00Z
10-31-2023,22:53:00,Calm,44,36,NA,NA,10,2023-10-31T22:53:00Z
10-31-2023,21:53:00,N 3,43,34,NA,NA,10,2023-10-31T21:53:00Z
10-31-2023,20:53:00,Calm,42,33,NA,NA,10,2023-10-31T20:53:00Z
10-31-2023,19:53:00,Calm,45,33,NA,NA,10,2023-10-31T19:53:00Z
10-31-2023,18:53:00,Calm,49,33,NA,NA,10,2023-10-31T18:53:00Z
10-31-2023,17:53:00,Calm,51,33,NA,NA,10,2023-10-31T17:53:00Z
10-31-2023,16:53:00,Calm,51,32,NA,NA,10,2023-10-31T16:53:00Z
10-31-2023,15:53:00,SW 3,51,32,NA,NA,10,2023-10-31T15:53:00Z
10-31-2023,14:53:00,NW 5,51,32,NA,NA,10,2023-10-31T14:53:00Z
10-31-2023,13:53:00,Calm,51,32,NA,NA,10,2023-10-31T13:53:00Z
10-31-2023,12:53:00,Calm,51,32,NA,NA,10,2023-10-31T12:53:00Z
10-31-2023,11:53:00,Calm,50,32,NA,NA,10,2023-10-31T11:53:00Z
10-31-2023,10:53:00,NE 7,49,32,NA,NA,10,2023-10-31T10:53:00Z
10-31-2023,09:53:00,NE 9,49,32,NA,NA,10,2023-10-31T09:53:00Z
10-31-2023,08:53:00,NE 10,48,32,NA,NA,10,2023-10-31T08:53:00Z
10-31-2023,07:53:00,NE 6,47,33,NA,NA,10,2023-10-31T07:53:00Z
10-31-2023,06:53:00,NE 8,48,37,NA,NA,10,2023-10-31T06:53:00Z
10-31-2023,05:53:00,NE 6,48,41,NA,NA,10,2023-10-31T05:53:00Z
10-31-2023,04:53:00,NE 6,49,42,0.01,0.01,10,2023-10-31T04:53:00Z
10-31-2023,03:53:00,N 3,51,39,NA,NA,10,2023-10-31T03:53:00Z
10-31-2023,02:53:00,N 5,53,37,NA,NA,10,2023-10-31T02:53:00Z
10-31-2023,01:53:00,Vrbl 5,53,37,NA,NA,10,2023-10-31T01:53:00Z
10-31-2023,00:53:00,N 6,54,37,NA,NA,10,2023-10-31T00:53:00Z
10-30-2023,23:53:00,N 10 G 21,56,38,NA,NA,10,2023-10-30T23:53:00Z
