name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
KCHO,2020-01-01T00:00:00,7.9,6.6,-3.8,43.38,0,0,,,,,7.6,281,1006.9,0,16,0,0,0,,Clear,clear-night,KCHO
KCHO,2020-01-01T01:00:00,7.3,6.5,-3.8,45.19,0,0,,,,,5.4,290,1007,0,16,0,0,0,,Clear,clear-night,KCHO
KCHO,2020-01-01T02:00:00,6.2,4.6,-3.8,48.74,0,0,,,,,7.6,274.4,1007.4,0,16,0,0,0,,Clear,clear-night,KCHO
KCHO,2020-01-01T03:00:00,4.4,3.2,-3.8,55.23,0,0,,,,,5.4,170,1007.8,0,16,0,0,0,,Clear,clear-night,KCHO
KCHO,2020-01-01T04:00:00,4.4,3.2,-3.8,55.23,0,0,,,,,5.4,210,1008.4,0,16,0,0,0,,Clear,clear-night,KCHO
KCHO,2020-01-01T05:00:00,4.4,2.5,-4.3,53.2,0,0,,,,,7.6,200,1008.1,0,16,0,0,0,,Clear,clear-night,KCHO
KCHO,2020-01-01T06:00:00,3.9,3.9,-4.3,55.1,0,0,,,,,0,0,1008.7,0,16,0,0,0,,Clear,clear-night,KCHO
KCHO,2020-01-01T07:00:00,3.9,1.9,-5,52.27,0,0,,,,,7.6,170,1009.1,0,16,11.7,0,0,,Clear,clear-night,KCHO
KCHO,2020-01-01T08:00:00,4.4,4.4,-4.3,53.2,0,0,,,,,0,0,1009.8,0,16,140.1,0.5,1,,Clear,clear-day,KCHO
KCHO,2020-01-01T09:00:00,6.2,6.2,-2.7,52.9,0,0,,,,,0,0,1010.8,0,16,301.5,1.1,3,,Clear,clear-day,KCHO
KCHO,2020-01-01T10:00:00,7.9,6.2,-2.7,47.09,0,0,,,,,9.4,180,1011.3,0,16,431.1,1.6,4,,Clear,clear-day,KCHO
KCHO,2020-01-01T11:00:00,8.9,6.3,-5,37.04,0,0,,,,,16.6,260,1011.5,0,16,508.4,1.8,5,,Clear,clear-day,KCHO
KCHO,2020-01-01T12:00:00,10,7.1,-5.6,32.87,0,0,,,,,22.3,260,1010.9,0,16,524.5,1.9,5,,Clear,clear-day,KCHO
KCHO,2020-01-01T13:00:00,10.7,10.7,-6.1,30.2,0,0,,,,,13,230,1009.9,0,16,478.5,1.7,5,,Clear,clear-day,KCHO
KCHO,2020-01-01T14:00:00,11.8,11.8,-5.6,29.16,0,0,,,,,5.4,273,1010,0,16,376.5,1.4,4,,Clear,clear-day,KCHO
KCHO,2020-01-01T15:00:00,12.3,12.3,-5.6,28.22,0,0,,,,,20.5,290,1010.2,0,16,229.2,0.8,2,,Clear,clear-day,KCHO
KCHO,2020-01-01T16:00:00,11.8,11.8,-6.1,28.07,0,0,,,,25.9,18.4,290,1011.1,0,16,64.7,0.2,1,,Clear,clear-day,KCHO
KCHO,2020-01-01T17:00:00,10,9.6,-6.1,31.64,0,0,,,,,5.4,300,1011.9,0,16,0,0,0,,Clear,clear-day,KCHO
KCHO,2020-01-01T18:00:00,7.9,7.2,-6.1,36.46,0,0,,,,,5.4,265.8,1012.4,0,16,0,0,0,,Clear,clear-night,KCHO
KCHO,2020-01-01T19:00:00,8.4,8.4,-5.6,36.61,0,0,,,,,0,0,1013,0,16,0,0,0,,Clear,clear-night,KCHO
KCHO,2020-01-01T20:00:00,7.3,7.3,-6.1,37.98,0,0,,,,,0,0,1013.3,0,16,0,0,0,,Clear,clear-night,KCHO
KCHO,2020-01-01T21:00:00,4.4,2.5,-5.6,48.22,0,0,,,,,7.6,170,1013.7,0,16,0,0,0,,Clear,clear-night,KCHO
KCHO,2020-01-01T22:00:00,5,2.4,-5,48.39,0,0,,,,,11.2,200,1013.7,0,16,0,0,0,,Clear,clear-night,KCHO
KCHO,2020-01-01T23:00:00,2.3,-0.9,-5,58.53,0,0,,,,,11.2,180,1013.8,0,16,0,0,0,,Clear,clear-night,KCHO
KCHO,2020-01-02T00:00:00,3.9,2.6,-3.8,57.2,0,0,,,,,5.4,261.3,1014,0,16,0,0,0,,Clear,clear-night,KCHO
KCHO,2020-01-02T01:00:00,2.9,2.9,-3.8,61.39,0,0,,,,,0,0,1013.3,0,16,0,0,0,,Clear,clear-night,KCHO
KCHO,2020-01-02T02:00:00,3.4,2.1,-3.8,59.25,0,0,,,,,5.4,190,1013.4,0,16,0,0,0,,Clear,clear-night,KCHO
KCHO,2020-01-02T03:00:00,2.9,0.8,-3.8,61.39,0,0,,,,,7.6,180,1013.7,0,16,0,0,0,,Clear,clear-night,KCHO
KCHO,2020-01-02T04:00:00,3.9,1.9,-3.8,57.2,0,0,,,,,7.6,200,1013.8,0,16,0,0,0,,Clear,clear-night,KCHO
KCHO,2020-01-02T05:00:00,1.2,-2.2,-3.8,69.3,0,0,,,,,11.2,180,1013.9,0,16,0,0,0,,Clear,clear-night,KCHO
KCHO,2020-01-02T06:00:00,1.8,-0.5,-3.2,69.43,0,0,,,,,7.6,210,1014.1,0,16,0,0,0,,Clear,clear-night,KCHO
KCHO,2020-01-02T07:00:00,0.7,-2.4,-3.8,71.84,0,0,,,,,9.4,190,1014.3,0,16,9.3,0,0,,Clear,clear-night,KCHO
KCHO,2020-01-02T08:00:00,-0.6,-2.5,-3.8,78.94,0,0,,,,,5.4,340,1015.1,0,16,129.3,0.5,1,,Clear,clear-day,KCHO
KCHO,2020-01-02T09:00:00,2.3,2.3,-2.7,69.53,0,0,,,,,0,0,1015.8,0,16,273.6,1,3,,Clear,clear-day,KCHO
KCHO,2020-01-02T10:00:00,5,3.9,-1.6,62.36,0,0,,,,,5.4,190,1015.8,0,16,218.2,0.8,2,,Clear,clear-day,KCHO
KCHO,2020-01-02T11:00:00,8.4,6.8,-1.1,51.21,0,0,,,,,9.4,210,1015.4,0,16,254.1,0.9,3,,Clear,clear-day,KCHO
KCHO,2020-01-02T12:00:00,11.2,11.2,-1.1,42.45,0,0,,,,,9.4,190,1013.6,0,16,287.6,1,3,,Clear,clear-day,KCHO
KCHO,2020-01-02T13:00:00,12.3,12.3,-1.6,38.05,0,0,,,,,18.4,170,1012.8,0,16,284.5,1,3,,Clear,clear-day,KCHO
KCHO,2020-01-02T14:00:00,13.4,13.4,-2.1,34.13,0,0,,,,,18.4,190,1012.5,0,16,251.6,0.9,3,,Clear,clear-day,KCHO
KCHO,2020-01-02T15:00:00,13.4,13.4,-1.6,35.41,0,0,,,,,11.2,190,1012.2,0,16,145.2,0.5,1,,Clear,clear-day,KCHO
KCHO,2020-01-02T16:00:00,12.9,12.9,-1.6,36.58,0,0,,,,,14.8,190,1012.6,0,16,34.3,0.1,0,,Clear,clear-day,KCHO
KCHO,2020-01-02T17:00:00,12.3,12.3,-1.1,39.47,0,0,,,,,14.8,200,1012.9,0,16,0,0,0,,Clear,clear-day,KCHO
KCHO,2020-01-02T18:00:00,12.3,12.3,0,42.77,0,0,,,,,13,210,1012.8,25,16,0,0,0,,Partially cloudy,partly-cloudy-night,KCHO
